PlayerID,PlayerName,Season,GameType,Team,Position,GP,G,A,P,PlusMinus,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,TOI/GP_sec,Shifts/GP,FOW%
8458838,Steve Poapst,2000-2001,Regular Season,CHI,D,36,2,3,5,3,12,0.14,0,1,0,1,0,0,27,7.4,00:17:02,1022,22.3,0.0
8457704,Shjon Podein,2000-2001,Regular Season,COL,L,82,15,17,32,7,68,0.39,0,0,0,0,3,0,137,10.9,00:14:23,863,24.1,44.9
8465178,Andrei Podkonicky,2000-2001,Regular Season,FLA,C,6,1,0,1,0,2,0.17,0,0,0,0,0,0,5,20.0,00:06:04,364,9.2,55.9
8467412,Alexei Ponikarovsky,2000-2001,Regular Season,TOR,L,22,1,3,4,-1,14,0.18,0,0,0,0,0,0,21,4.8,00:08:31,511,10.7,28.6
8457706,Peter Popovic,2000-2001,Regular Season,BOS,D,60,1,6,7,-5,48,0.12,0,0,0,0,0,0,34,2.9,00:18:41,1121,23.5,0.0
8464990,Marek Posmyk,2000-2001,Regular Season,TBL,D,1,0,0,0,-1,0,0.00,0,0,0,0,0,0,0,0.0,00:13:27,807,17.0,0.0
8468427,Brian Pothier,2000-2001,Regular Season,ATL,D,3,0,0,0,4,2,0.00,0,0,0,0,0,0,0,0.0,00:20:37,1237,24.3,0.0
8465012,Tom Poti,2000-2001,Regular Season,EDM,D,81,12,20,32,-4,60,0.40,6,18,0,1,3,0,161,7.4,00:22:44,1364,23.6,0.0
8458523,Patrick Poulin,2000-2001,Regular Season,MTL,L,52,9,11,20,1,13,0.38,0,2,0,1,4,0,65,13.8,00:13:15,795,18.3,9.1
8459538,Nolan Pratt,2000-2001,Regular Season,COL,D,46,1,2,3,2,40,0.07,0,0,0,0,1,0,26,3.8,00:09:49,589,14.8,0.0
8450550,Keith Primeau,2000-2001,Regular Season,PHI,C,71,34,39,73,17,76,1.03,11,22,0,1,4,1,165,20.6,00:19:58,1198,26.1,53.5
8460507,Wayne Primeau,2000-2001,Regular Season,"TBL, PIT",C,75,3,19,22,-17,131,0.29,0,3,0,0,0,0,77,3.9,00:13:39,819,18.8,51.9
8450561,Bob Probert,2000-2001,Regular Season,CHI,L,79,7,12,19,-13,103,0.24,1,1,0,0,0,0,45,15.6,00:10:49,649,13.8,0.0
8459424,Chris Pronger,2000-2001,Regular Season,STL,D,51,8,39,47,21,75,0.92,4,27,0,2,0,0,121,6.6,00:27:44,1664,28.1,0.0
8459492,Vinny Prospal,2000-2001,Regular Season,"OTT, FLA",L,74,5,24,29,-1,22,0.39,1,9,0,0,0,0,136,3.7,00:14:37,877,18.7,52.3
8459654,Joel Prpic,2000-2001,Regular Season,COL,C,3,0,0,0,0,2,0.00,0,0,0,0,0,0,0,0.0,00:09:47,587,16.0,60.0
8462148,Dale Purinton,2000-2001,Regular Season,NYR,D,42,0,2,2,5,180,0.05,0,0,0,0,0,0,13,0.0,00:09:33,573,13.7,0.0
8458546,Jamie Pushor,2000-2001,Regular Season,CBJ,D,75,3,10,13,7,94,0.17,0,0,1,2,0,0,64,4.7,00:20:48,1248,25.7,0.0
8467881,Taylor Pyatt,2000-2001,Regular Season,NYI,L,78,4,14,18,-17,39,0.23,1,3,0,0,2,0,86,4.7,00:12:13,733,16.1,0.0
8460521,Deron Quint,2000-2001,Regular Season,CBJ,D,57,7,16,23,-19,16,0.40,3,11,0,0,0,0,148,4.7,00:24:05,1445,26.9,100.0
8450620,Stephane Quintal,2000-2001,Regular Season,CHI,D,72,1,18,19,-9,60,0.26,0,2,0,0,0,0,109,0.9,00:22:30,1350,27.1,0.0
8466353,Karel Rachunek,2000-2001,Regular Season,OTT,D,71,3,30,33,17,60,0.46,3,17,0,1,0,0,77,3.9,00:20:53,1253,27.5,0.0
8467856,Brian Rafalski,2000-2001,Regular Season,NJD,D,78,9,43,52,36,26,0.67,6,22,0,0,1,0,142,6.3,00:21:40,1300,23.6,100.0
8459035,Marcus Ragnarsson,2000-2001,Regular Season,SJS,D,68,3,12,15,2,44,0.22,1,5,0,1,0,0,74,4.1,00:23:36,1416,25.6,0.0
8467926,Brad Ralph,2000-2001,Regular Season,PHX,L,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.0,00:05:16,316,7.0,0.0
8450653,Paul Ranheim,2000-2001,Regular Season,PHI,L,80,10,7,17,2,14,0.21,0,0,2,4,0,0,123,8.1,00:12:57,777,19.7,55.6
8464968,Erik Rasmussen,2000-2001,Regular Season,BUF,C,82,12,19,31,0,51,0.38,1,2,0,0,3,0,95,12.6,00:13:46,826,18.3,43.7
8464980,Peter Ratchuk,2000-2001,Regular Season,FLA,D,8,0,0,0,-1,0,0.00,0,0,0,0,0,0,11,0.0,00:13:08,788,18.0,100.0
8458940,Mike Rathje,2000-2001,Regular Season,SJS,D,81,0,11,11,7,48,0.14,0,3,0,0,0,0,89,0.0,00:22:20,1340,25.1,0.0
8450678,Rob Ray,2000-2001,Regular Season,BUF,R,63,4,6,10,2,210,0.16,0,0,0,0,1,0,33,12.1,00:05:38,338,8.3,100.0
8464967,Marty Reasoner,2000-2001,Regular Season,STL,C,41,4,9,13,-5,14,0.32,0,6,0,1,0,0,65,6.2,00:14:00,840,18.1,53.1
8450725,Mark Recchi,2000-2001,Regular Season,PHI,R,69,27,50,77,15,33,1.12,7,24,1,2,8,1,191,14.1,00:21:39,1299,26.4,42.8
8462033,Wade Redden,2000-2001,Regular Season,OTT,D,78,10,37,47,22,49,0.60,4,22,0,0,0,0,159,6.3,00:25:17,1517,31.8,0.0
8450742,Joe Reekie,2000-2001,Regular Season,WSH,D,74,2,9,11,14,77,0.15,0,1,0,0,1,0,59,3.4,00:18:49,1129,24.7,0.0
8467344,Robyn Regehr,2000-2001,Regular Season,CGY,D,71,1,3,4,-7,70,0.06,0,1,0,0,0,0,62,1.6,00:19:42,1182,24.9,0.0
8450773,Dave Reid,2000-2001,Regular Season,COL,L,73,1,9,10,1,21,0.14,0,0,0,1,0,0,66,1.5,00:09:52,592,16.4,40.3
8468432,Steve Reinprecht,2000-2001,Regular Season,"LAK, COL",C,80,15,21,36,10,14,0.45,3,4,2,5,3,0,100,15.0,00:13:26,806,19.0,43.7
8457783,Todd Reirden,2000-2001,Regular Season,STL,D,38,2,4,6,-2,43,0.16,1,3,0,0,0,0,58,3.4,00:16:50,1010,22.2,50.0
8459223,Pascal Rheaume,2000-2001,Regular Season,STL,C,8,2,0,2,-1,5,0.25,2,2,0,0,0,0,16,12.5,00:11:55,715,16.3,42.9
8467371,Mike Ribeiro,2000-2001,Regular Season,MTL,C,2,0,0,0,0,2,0.00,0,0,0,0,0,0,3,0.0,00:10:38,638,13.0,18.2
8450817,Mike Ricci,2000-2001,Regular Season,SJS,C,81,22,22,44,3,60,0.54,9,18,2,4,4,1,141,15.6,00:17:59,1079,23.0,51.4
8467389,Brad Richards,2000-2001,Regular Season,TBL,C,82,21,41,62,-10,14,0.76,7,26,0,0,3,1,179,11.7,00:16:54,1014,18.8,41.4
8450824,Luke Richardson,2000-2001,Regular Season,PHI,D,82,2,6,8,23,131,0.10,0,0,1,1,0,0,75,2.7,00:20:42,1242,26.6,0.0
8457805,Barry Richter,2000-2001,Regular Season,MTL,D,2,0,0,0,-1,2,0.00,0,0,0,0,0,0,0,0.0,00:10:44,644,16.0,0.0
8466150,Michel Riesen,2000-2001,Regular Season,EDM,L,12,0,1,1,2,4,0.08,0,0,0,0,0,0,16,0.0,00:09:54,594,12.4,0.0
